Year,Prize,Name,Zodiac Sign
1901,Physics,Wilhelm Röntgen,Aries
1902,Physics,Hendrik Lorentz,Cancer
1902,Physics,Pieter Zeeman,Gemini
1903,Physics,Henri Becquerel,Sagittarius
1903,Physics,Pierre Curie,Taurus
1903,Physics,Marie Curie,Scorpio
1904,Physics,Lord Rayleigh,Scorpio
1905,Physics,Philipp Lenard,Gemini
1906,Physics,J. J. Thomson,Sagittarius
1907,Physics,Albert A. Michelson,Sagittarius
1908,Physics,Gabriel Lippmann,Leo
1909,Physics,Karl Ferdinand Braun,Gemini
1909,Physics,Guglielmo Marconi,Taurus
1910,Physics,Johannes Diderik van der Waals,Sagittarius
1911,Physics,Wilhelm Wien,Capricorn
1912,Physics,Gustaf Dalén,Sagittarius
1913,Physics,Heike Kamerlingh Onnes,Virgo
1914,Physics,Max von Laue,Libra
1915,Physics,William Henry Bragg,Cancer
1915,Physics,Lawrence Bragg,Aries
1917,Physics,Charles Glover Barkla,Gemini
1918,Physics,Max Planck,Taurus
1919,Physics,Johannes Stark,Aries
1920,Physics,Charles Édouard Guillaume,Aquarius
1921,Physics,Albert Einstein,Pisces
1922,Physics,Niels Bohr,Libra
1923,Physics,Robert Andrews Millikan,Aries
1924,Physics,Manne Siegbahn,Sagittarius
1925,Physics,James Franck,Virgo
1925,Physics,Gustav Ludwig Hertz,Cancer
1926,Physics,Jean Baptiste Perrin,Libra
1927,Physics,Arthur Compton,Virgo
1927,Physics,Charles Thomson Rees Wilson,Aquarius
1928,Physics,Owen Willans Richardson,Taurus
1929,Physics,Louis de Broglie,Leo
1930,Physics,C. V. Raman,Scorpio
1932,Physics,Werner Heisenberg,Sagittarius
1933,Physics,Erwin Schrödinger,Leo
1933,Physics,Paul Dirac,Leo
1935,Physics,James Chadwick,Libra
1936,Physics,Victor Francis Hess,Cancer
1936,Physics,Carl David Anderson,Virgo
1937,Physics,Clinton Davisson,Libra
1937,Physics,George Paget Thomson,Taurus
1938,Physics,Enrico Fermi,Libra
1939,Physics,Ernest Lawrence,Leo
1943,Physics,Otto Stern,Aquarius
1944,Physics,Isidor Isaac Rabi,Leo
1945,Physics,Wolfgang Pauli,Taurus
1946,Physics,Percy Williams Bridgman,Taurus
1947,Physics,Edward Victor Appleton,Virgo
1948,Physics,Patrick Blackett,Scorpio
1949,Physics,Hideki Yukawa,Aquarius
1950,Physics,C. F. Powell,Sagittarius
1951,Physics,John Cockcroft,Gemini
1951,Physics,Ernest Walton,Libra
1952,Physics,Felix Bloch,Scorpio
1952,Physics,Edward Mills Purcell,Virgo
1953,Physics,Frits Zernike,Cancer
1954,Physics,Max Born,Sagittarius
1954,Physics,Walther Bothe,Capricorn
1955,Physics,Willis Lamb,Cancer
1955,Physics,Polykarp Kusch,Aquarius
1956,Physics,John Bardeen,Gemini
1956,Physics,Walter Houser Brattain,Aquarius
1956,Physics,William Shockley,Aquarius
1957,Physics,Yang Chen-Ning,Libra
1957,Physics,Tsung-Dao Lee,Sagittarius
1958,Physics,Pavel Cherenkov,Leo
1958,Physics,Ilya Frank,Scorpio
1958,Physics,Igor Tamm,Cancer
1959,Physics,Emilio Segrè,Aquarius
1959,Physics,Owen Chamberlain,Cancer
1960,Physics,Donald A. Glaser,Virgo
1961,Physics,Robert Hofstadter,Aquarius
1961,Physics,Rudolf Mössbauer,Aquarius
1962,Physics,Lev Landau,Aquarius
1963,Physics,Eugene Wigner,Scorpio
1963,Physics,Maria Goeppert Mayer,Cancer
1963,Physics,J. Hans D. Jensen,Cancer
1964,Physics,Charles H. Townes,Leo
1964,Physics,Nikolay Basov,Sagittarius
1964,Physics,Alexander Prokhorov,Cancer
1965,Physics,Shin'ichirō Tomonaga,Aries
1965,Physics,Julian Schwinger,Aquarius
1965,Physics,Richard Feynman,Taurus
1966,Physics,Alfred Kastler,Taurus
1967,Physics,Hans Bethe,Cancer
1968,Physics,Luis Walter Alvarez,Gemini
1969,Physics,Murray Gell-Mann,Virgo
1970,Physics,Hannes Alfvén,Gemini
1970,Physics,Louis Néel,Sagittarius
1971,Physics,Dennis Gabor,Gemini
1972,Physics,John Bardeen,Gemini
1972,Physics,Leon Cooper,Pisces
1972,Physics,John Robert Schrieffer,Gemini
1973,Physics,Leo Esaki,Pisces
1973,Physics,Ivar Giaever,Aries
1973,Physics,Brian Josephson,Capricorn
1974,Physics,Martin Ryle,Libra
1974,Physics,Antony Hewish,Taurus
1975,Physics,Aage Bohr,Gemini
1975,Physics,Ben Roy Mottelson,Cancer
1975,Physics,James Rainwater,Sagittarius
1976,Physics,Burton Richter,Aries
1976,Physics,Samuel C. C. Ting,Aquarius
1977,Physics,Philip W. Anderson,Sagittarius
1977,Physics,Nevill Francis Mott,Libra
1977,Physics,John Hasbrouck Van Vleck,Pisces
1978,Physics,Pyotr Kapitsa,Cancer
1978,Physics,Arno Allan Penzias,Taurus
1978,Physics,Robert Woodrow Wilson,Capricorn
1979,Physics,Sheldon Glashow,Sagittarius
1979,Physics,Abdus Salam,Aquarius
1979,Physics,Steven Weinberg,Taurus
1980,Physics,James Cronin,Libra
1980,Physics,Val Logsdon Fitch,Pisces
1981,Physics,Nicolaas Bloembergen,Pisces
1981,Physics,Arthur Leonard Schawlow,Taurus
1981,Physics,Kai Siegbahn,Taurus
1982,Physics,Kenneth G. Wilson,Gemini
1983,Physics,Subrahmanyan Chandrasekhar,Libra
1983,Physics,William Alfred Fowler,Leo
1984,Physics,Carlo Rubbia,Aries
1984,Physics,Simon van der Meer,Sagittarius
1985,Physics,Klaus von Klitzing,Cancer
1986,Physics,Ernst Ruska,Capricorn
1986,Physics,Gerd Binnig,Cancer
1986,Physics,Heinrich Rohrer,Gemini
1987,Physics,Georg Bednorz,Taurus
1987,Physics,K. Alex Müller,Taurus
1988,Physics,Leon M. Lederman,Cancer
1988,Physics,Melvin Schwartz,Scorpio
1988,Physics,Jack Steinberger,Gemini
1989,Physics,Norman Ramsey Jr.,Virgo
1989,Physics,Hans Georg Dehmelt,Virgo
1989,Physics,Wolfgang Paul,Leo
1990,Physics,Jerome Isaac Friedman,Aries
1990,Physics,Henry Way Kendall,Sagittarius
1990,Physics,Richard E. Taylor,Scorpio
1991,Physics,Pierre-Gilles de Gennes,Scorpio
1992,Physics,Georges Charpak,Leo
1993,Physics,Russell Alan Hulse,Sagittarius
1993,Physics,Joseph Hooton Taylor Jr.,Aries
1994,Physics,Bertram Brockhouse,Cancer
1994,Physics,Clifford Shull,Libra
1995,Physics,Martin Lewis Perl,Cancer
1995,Physics,Frederick Reines,Pisces
1996,Physics,David Lee,Aquarius
1996,Physics,Douglas Osheroff,Leo
1996,Physics,Robert Coleman Richardson,Cancer
1997,Physics,Steven Chu,Pisces
1997,Physics,Claude Cohen-Tannoudji,Aries
1997,Physics,William Daniel Phillips,Scorpio
1998,Physics,Robert B. Laughlin,Scorpio
1998,Physics,Horst Ludwig Störmer,Aries
1998,Physics,Daniel C. Tsui,Pisces
1999,Physics,Gerard 't Hooft,Cancer
1999,Physics,Martinus J. G. Veltman,Cancer
2000,Physics,Jack Kilby,Scorpio
2000,Physics,Zhores Alferov,
2000,Physics,Herbert Kroemer,Virgo
2001,Physics,Eric Allin Cornell,Sagittarius
2001,Physics,Wolfgang Ketterle,Libra
2001,Physics,Carl Wieman,Aries
2002,Physics,Riccardo Giacconi,Libra
2002,Physics,Raymond Davis Jr.,Libra
2002,Physics,Masatoshi Koshiba,Virgo
2003,Physics,Alexei Abrikosov,Cancer
2003,Physics,Vitaly Ginzburg,Libra
2003,Physics,Anthony James Leggett,Aries
2004,Physics,David Gross,Pisces
2004,Physics,Hugh David Politzer,Virgo
2004,Physics,Frank Wilczek,Taurus
2005,Physics,Roy J. Glauber,Virgo
2005,Physics,John L. Hall,Leo
2005,Physics,Theodor W. Hänsch,Scorpio
2006,Physics,John C. Mather,Leo
2006,Physics,George Smoot,Pisces
2007,Physics,Albert Fert,Pisces
2007,Physics,Peter Grünberg,Taurus
2008,Physics,Yoichiro Nambu,Capricorn
2008,Physics,Makoto Kobayashi,Aries
2008,Physics,Toshihide Maskawa,Aquarius
2009,Physics,Charles K. Kao,Scorpio
2009,Physics,Willard S. Boyle,Leo
2009,Physics,George E. Smith,Taurus
2010,Physics,Andre Geim,Libra
2010,Physics,Konstantin Novoselov,Virgo
2011,Physics,Saul Perlmutter,Virgo
2011,Physics,Adam Riess,Sagittarius
2011,Physics,Brian Schmidt,Pisces
2012,Physics,Serge Haroche,Virgo
2012,Physics,David J. Wineland,Pisces
2013,Physics,François Englert,Scorpio
2013,Physics,Peter W. Higgs,Gemini
2014,Physics,Isamu Akasaki,Aquarius
2014,Physics,Hiroshi Amano,Virgo
2014,Physics,Shuji Nakamura,Gemini
2015,Physics,Takaaki Kajita,Pisces
2015,Physics,Arthur B. McDonald,Virgo
2016,Physics,David J. Thouless,Virgo
2016,Physics,Duncan Haldane,Virgo
2016,Physics,John M. Kosterlitz,Cancer
2017,Physics,Rainer Weiss,Libra
2017,Physics,Barry Barish,Aquarius
2017,Physics,Kip Thorne,Gemini
2018,Physics,Arthur Ashkin,Virgo
2018,Physics,Gérard Mourou,Cancer
2018,Physics,Donna Strickland,Gemini
2019,Physics,Jim Peebles,Taurus
2019,Physics,Michel Mayor,Capricorn
2019,Physics,Didier Queloz,Pisces
2020,Physics,Roger Penrose,Leo
2020,Physics,Reinhard Genzel,Aries
2020,Physics,Andrea M. Ghez,Gemini
2021,Physics,Giorgio Parisi,Leo
2021,Physics,Klaus Hasselmann,Scorpio
2021,Physics,Syukuro Manabe,Virgo
2022,Physics,Alain Aspect,Gemini
2022,Physics,John Clauser,Sagittarius
2022,Physics,Anton Zeilinger,Taurus
2023,Physics,Pierre Agostini,Leo
2023,Physics,Ferenc Krausz,Taurus
2023,Physics,Anne L'Huillier,Leo
1901,Chemistry,Jacobus Henricus van 't Hoff,Virgo
1902,Chemistry,Emil Fischer,Libra
1903,Chemistry,Svante Arrhenius,Pisces
1904,Chemistry,William Ramsay,Libra
1905,Chemistry,Adolf von Baeyer,Scorpio
1906,Chemistry,Henri Moissan,Libra
1907,Chemistry,Eduard Buchner,Taurus
1908,Chemistry,Ernest Rutherford,Virgo
1909,Chemistry,Wilhelm Ostwald,
1910,Chemistry,Otto Wallach,Aries
1911,Chemistry,Marie Curie,Scorpio
1912,Chemistry,Victor Grignard,Taurus
1912,Chemistry,Paul Sabatier,Scorpio
